id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Forest Lanterns,Willow Harbor,folk,calm,0.31,88,0.70,0.46,0.90
12,Neon Skyline,Arc Runner,synthwave,focused,0.67,114,0.58,0.74,0.25
13,Quiet Sonata,Aster Quartet,classical,reflective,0.14,62,0.52,0.20,0.97
14,River Walk,Cedar Vale,folk,happy,0.49,96,0.76,0.63,0.81
15,Clockwork Pulse,Mirror Circuit,electronic,intense,0.89,140,0.45,0.84,0.08
16,Himalayan Dawn,Annapurna Strings,nepalese folk,calm,0.26,76,0.68,0.42,0.93
17,Bhaktapur Evening,Kathmandu River Ensemble,nepalese folk,reflective,0.34,84,0.62,0.48,0.88
18,Iron Tempest,Riftbreaker,metal,intense,0.96,178,0.39,0.61,0.04
19,Titanium Hearts,Black Summit,rock,intense,0.92,165,0.47,0.69,0.07
20,Voltage Overload,Steel Meridian,metal,angry,0.95,182,0.32,0.58,0.03
21,Silent Compiler,Night Study Lofi,lofi,focused,0.18,66,0.57,0.51,0.91
22,Notebook Rain,Quiet Pixels,lofi,chill,0.22,70,0.61,0.55,0.87
23,Deep Focus Drift,LoRoom,lofi,focused,0.16,64,0.54,0.49,0.94
